Games,MONTESSORI,EASTSIDE,ENLOE,CLOVIS,JONASCLARKE,CHOATE,BASISPEORIA,AMES,RMHS,BROOKFIELD,BMIRALOMA,MINNETONKA,PRISMS,ARCADIA,NAPERVILLENORTH,WWPN,MSJ,BENLOE,CARMEL,BASISSANANTONIO,CBLAIR,PUNAHOU,SARATOGA,FOSSILRIDGE,DUPONT,DULLES,MIRALOMA,BLEXINGTON,DINTERLAKE,IOLANI,MSMS,LYNBROOK,NORTHHOLLYWOOD,LAKESIDE,WAYZATA,MIDDLETON,CUPERTINO,BUCHHOLZ,TESLASTEM,DAVIDSON,YOUNGMAGNET,FOOTHILL,LADUE,NCSSM,GREENHOPE,JPSTEVENS,COLLIERVILLE,BBUCHHOLZ,WESTMINSTER,SHEN,BLAIR,UNIVERSITY,NISKAYUNA,MARQUETTE,EASTLYME,CARCADIA,LEXINGTON,INTERLAKE,CENTENNIAL,GLASTONBURY,BAHSBROWARD,BASISSILICONVALLEY,WESTVIEW,PEDDIE
,0,1449.01,0,0,0,0,0,1459.11,0,0,0,0,0,0,1395.27,0,0,0,0,0,0,0,0,0,0,1359.34,1462.88,0,0,0,0,0,1572.76,0,1316.4,1321.03,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1430.43,1314.43,0,0,0,0,1487.73,1378.22,0,0,0,0,0,0
,0,1449.01,0,0,0,0,0,1438,0,0,0,0,0,0,1399.1,0,0,0,0,0,0,0,0,0,0,1368.95,1462.88,0,0,0,0,0,1572.76,0,1316.4,1352.7,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1430.43,1314.43,0,0,0,0,1493.29,1378.22,0,0,0,0,0,0
,0,1445.37,0,0,0,0,0,1446.84,0,0,0,0,0,0,1399.1,0,0,0,0,0,0,0,0,0,0,1368.95,1445.64,0,0,0,0,0,1576.78,0,1316.4,1356.33,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1447.67,1314.43,0,0,0,0,1497.59,1378.22,0,0,0,0,0,0
,0,1445.37,0,0,0,0,0,1446.84,0,0,0,0,0,0,1418.81,0,0,0,0,0,0,0,0,0,0,1385.31,1445.64,0,0,0,0,0,1576.78,0,1316.4,1356.33,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1447.67,1314.43,0,0,0,0,1477.88,1361.87,0,0,0,0,0,0
,0,1458.21,0,0,0,0,0,1467.67,0,0,0,0,0,0,1418.81,0,0,0,0,0,0,0,0,0,0,1394.33,1458.26,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1461.3,1314.43,0,0,0,0,1477.88,1349.03,0,0,0,0,0,0
,0,1458.95,0,0,0,0,0,1451.31,0,0,0,0,0,0,1404.43,0,0,0,0,0,0,0,0,0,0,1381.41,1489.26,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1489.96,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1458.95,0,0,0,0,0,1451.31,0,0,0,0,0,0,1404.43,0,0,0,0,0,0,0,0,0,0,1389.69,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1505.94,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1458.95,0,0,0,0,0,1451.31,0,0,0,0,0,0,1430.58,0,0,0,0,0,0,0,0,0,0,1416.04,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1505.94,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1458.95,0,0,0,0,0,1451.31,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1505.94,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1481.32,0,0,0,0,0,1454,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1505.94,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1428.19,0,0,0,0,0,1454,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,0,1505.94,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1428.19,0,0,0,0,0,1454,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,1313.15,1505.94,1314.43,0,0,0,0,1461.12,1349.03,0,0,0,0,0,0
,0,1428.19,0,0,0,0,0,1454,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1473.29,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,1313.15,1505.94,1314.43,0,0,0,0,1461.12,1347.44,0,0,0,0,0,0
,0,1428.19,0,0,0,0,0,1454,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1480.09,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,1313.15,1505.94,1314.43,0,0,0,0,1461.12,1355.94,0,0,0,0,0,0
,0,1428.19,0,0,0,0,0,1454,0,0,0,0,0,0,1438.54,0,0,0,0,0,0,0,0,0,0,1416.04,1498.15,0,0,0,0,0,1533.31,0,1316.4,1343.71,0,0,1361.9,1325.58,1309.32,0,0,1312.56,0,0,0,0,1346.9,1313.15,1505.94,1314.43,0,0,0,0,1461.12,1355.94,0,0,0,0,0,0
